question,freq,placement,target_page
"как стать курьером",9000,voprosy-page,/voprosy/kak-stat-kurierom/
"как устроиться курьером без опыта работы",700,voprosy-page,/voprosy/kak-ustroitsya-kurierom-bez-opyta/
"как стать курьером в 14 лет",300,voprosy-page,/voprosy/so-skolki-let-mozhno-rabotat-kurierom/
"как зарегистрироваться в яндекс про курьером самозанятым",200,faq-block,/yandex-eda/
"как работает пеший курьер",150,faq-block,/peshiy-kurier/
"как устроиться в яндекс курьер пеший",120,faq-block,/peshiy-kurier/
"как работает яндекс доставка курьер пеший",90,faq-block,/peshiy-kurier/
"как зарегистрироваться в яндекс как пеший курьер",80,faq-block,/peshiy-kurier/
"как стать курьером яндекс еда",2000,voprosy-page,/voprosy/kak-stat-kurierom-yandeks-eda/
"как стать курьером яндекс лавки",450,voprosy-page,/voprosy/kak-stat-kurierom-yandeks-lavka/
"как стать курьером самокат",350,voprosy-page,/voprosy/kak-stat-kurierom-samokat/
"как стать курьером купер",500,voprosy-page,/voprosy/kak-stat-kurierom-kuper/
"как стать курьером x5",200,faq-block,/x5/
"как стать курьером на авто",400,voprosy-page,/voprosy/kak-stat-avtokurierom/
"как стать сборщиком яндекс маркета",150,faq-block,/yandex-market/
"сколько зарабатывает курьер",7000,voprosy-page,/voprosy/skolko-zarabatyvaet-kurier/
"сколько зарабатывает курьер яндекс еда",1500,voprosy-page,/voprosy/skolko-zarabatyvaet-kurier-yandeks-eda/
"сколько зарабатывает курьер самокат",250,faq-block,/samokat/
"сколько зарабатывает курьер вкусвилл",150,faq-block,/vkusvill/
"сколько зарабатывает курьер в яндекс лавке",300,voprosy-page,/voprosy/skolko-zarabatyvaet-kurier-yandeks-lavka/
"сколько работает курьер в день",120,faq-block,/kak-stat-kurierom/
"что делает сборщик заказов",500,voprosy-page,/voprosy/chto-delaet-sborshik-zakazov/
"как работает сборщик заказов",200,faq-block,/sborshik-zakazov/
"что делает сборщик заказов купер",200,faq-block,/kuper/
"что делает сборщик заказов в самокате",120,faq-block,/samokat/
"как работает сборщик заказов в купере",80,faq-block,/kuper/
"сколько платят сборщику яндекс маркета",150,faq-block,/yandex-market/
"сколько зарабатывает курьер на машине в москве",250,faq-block,/avto-kurier/
"сколько зарабатывает курьер на велосипеде",180,faq-block,/velo-kurier/
"сколько зарабатывает велокурьер в яндекс еде",150,faq-block,/velo-kurier/
"сколько зарабатывает курьер в яндекс еда на велосипеде",130,faq-block,/velo-kurier/
"сколько зарабатывает автокурьер в яндекс еда",180,faq-block,/avto-kurier/
"сколько получает автокурьер яндекс еда",100,faq-block,/avto-kurier/
"сколько зарабатывает курьер в москве",2000,voprosy-page,/voprosy/skolko-zarabatyvaet-kurier-v-moskve/
"сколько зарабатывает курьер яндекс еда в москве",500,voprosy-page,/voprosy/skolko-zarabatyvaet-kurier-yandeks-eda-v-moskve/
"сколько зарабатывает курьер в питере",350,voprosy-page,/voprosy/skolko-zarabatyvaet-kurier-v-spb/
"сколько зарабатывает курьер в екатеринбурге",120,faq-block,/ekaterinburg/
"сколько зарабатывает пеший курьер в екатеринбурге",60,faq-block,/ekaterinburg/
"сколько зарабатывает курьер самоката в екатеринбурге",50,faq-block,/ekaterinburg/
"сколько получает курьер в екатеринбурге",90,faq-block,/ekaterinburg/
"сколько зарабатывает курьер в казани",100,faq-block,/kazan/
"сколько зарабатывает курьер яндекс еда в казани",70,faq-block,/kazan/
"сколько зарабатывает курьер в екатеринбурге в месяц",60,faq-block,/ekaterinburg/
"сколько зарабатывает курьер в екатеринбурге яндекс еда",50,faq-block,/ekaterinburg/
"сколько зарабатывает курьер в новосибирске",90,faq-block,/novosibirsk/
"что такое самозанятый курьер",1000,voprosy-page,/voprosy/chto-takoe-samozanyatyy-kurier/
"как платит налог самозанятый курьер",350,voprosy-page,/voprosy/kak-platit-nalog-samozanyatyy-kurier/
"что значит парковый курьер и самозанятый",70,faq-block,/yandex-eda/
"когда платят курьеру яндекс еда",250,faq-block,/yandex-eda/
"когда платят курьеру яндекс лавки",100,faq-block,/yandex-lavka/
"какой график в самокате курьер",90,faq-block,/samokat/
"как уволиться из яндекс еды курьером",200,faq-block,/yandex-eda/
"как уволиться с самоката курьером",70,faq-block,/samokat/
"как уйти с линии в яндекс про курьером",90,faq-block,/yandex-eda/
