service,role,min_age,citizenship_notes,documents,format
"DRAFT - требует сверки с Антонио. Снято 2026-07-20. Пустые/UNVERIFIED значения = официальная страница не подтвердила цифру напрямую (см. tariffs.md).","","","","",""
Яндекс Еда,пеший курьер,"UNVERIFIED (агрегаторы: 14-16 лет; на офстранице найдено только ""РФ 16+"" в данных FAQ, гражданство ""другое"" - планка не извлечена)","РФ + другое гражданство (планка в разметке страницы есть, точный текст не извлечён); по вторичным источникам - СНГ с разрешением на работу","РФ: паспорт с пропиской + медкнижка (UNVERIFIED прямым фетчем, но консистентно по вторичным источникам)",самозанятость (курьер-партнёр)
Яндекс Еда,вело-курьер,"см. пеший курьер (UNVERIFIED)","см. пеший курьер","см. пеший курьер",самозанятость (курьер-партнёр)
Яндекс Еда,авто-курьер,"UNVERIFIED, отдельная страница rabota_na_avto не открылась текстом","см. пеший курьер","см. пеший курьер + вероятно водительские права (не подтверждено)",самозанятость (курьер-партнёр)
Яндекс Лавка,вело-курьер (роль ""Курьер""),"нет публичной цифры на офстранице; страница lavka.yandex.ru закрыта антибот-капчей при прямой навигации","нет публичной цифры","нет публичной цифры",ГПХ у партнёра Яндекс Лавки
Яндекс Лавка,сборщик заказов (роль ""Кладовщик""),"нет публичной цифры на офстранице (антибот-капча блокирует прямой доступ)","нет публичной цифры","нет публичной цифры",ГПХ у партнёра Яндекс Лавки
Купер,пеший курьер,"нет публичной цифры числом на офстранице kuper.ru/rabota (во вторичных источниках - 16 лет, UNVERIFIED)","РФ, ЕАЭС (Беларусь/Армения/Казахстан/Киргизия), Украина","самозанятость (оформление через ""Мой налог""), медкнижка (""специальные предложения для партнёров""), смартфон",самозанятость (обязательна)
Купер,вело-курьер,"см. пеший курьер","см. пеший курьер","см. пеший курьер",самозанятость (обязательна)
Купер,авто-курьер,"нет публичной цифры числом на офстранице (во вторичных источниках - 18 лет из-за прав категории B, UNVERIFIED)","см. пеший курьер","см. пеший курьер + водительские права кат. B (UNVERIFIED)",самозанятость (обязательна)
Купер,сборщик заказов,"нет публичной цифры числом на офстранице","РФ, ЕАЭС, Украина","самозанятость, медкнижка предоставить в течение 10 дней после подключения, смартфон",самозанятость (обязательна)
Самокат,пеший курьер,"UNVERIFIED - офстраница samokat.ru/kurer закрыта антибот-защитой, цифры только из сторонних агрегаторов (не источник для контента)","UNVERIFIED (агрегаторы: РФ или патент на работу)","UNVERIFIED (агрегаторы: паспорт, медкнижка)","UNVERIFIED (агрегаторы: ГПХ или самозанятость)"
Самокат,вело-курьер,"UNVERIFIED, см. пеший курьер","UNVERIFIED","UNVERIFIED","UNVERIFIED"
Самокат,авто-курьер,"UNVERIFIED, см. пеший курьер","UNVERIFIED","UNVERIFIED","UNVERIFIED"
Самокат,сборщик заказов,"UNVERIFIED, см. пеший курьер","UNVERIFIED","UNVERIFIED","UNVERIFIED"
ВкусВилл,авто-курьер,"нет публичной цифры на офстранице vkusvill.ru/job/courier/","нет публичной цифры на этой странице","медкнижка обязательна (компенсация 2900 руб после 500 заказов), смартфон с приложением","самозанятость (или через аутсорс-компании, если самозанятость не оформлена)"
ВкусВилл,вело-курьер,"см. авто-курьер","см. авто-курьер","см. авто-курьер","самозанятость (или через аутсорс-компании)"
Яндекс Маркет,сборщик/кладовщик склада,"нет публичной цифры на офстранице market.yandex.ru/lp/kladovshcik","РФ: без доп.ограничений; СНГ (Киргизия/Казахстан/Беларусь/Армения): доп.документы; прочие: ВНЖ/патент/РВП","РФ: паспорт с пропиской, СНИЛС, ИНН. СНГ: + регистрация, медкнижка, миграционная карта, ДМС. Прочие: + ВНЖ/патент/РВП","оформление у партнёра Яндекс Маркета (не прямая занятость в Яндексе)"
Х5 Доставка,пеший курьер,"от 16 лет (упомянута ""отдельная программа"", детали не раскрыты на странице)","РФ (документы описаны); для др.гражданств - нет публичной цифры на этой странице","РФ: паспорт с регистрацией, ИНН, банковские реквизиты. Медкнижка - не упомянута явно на странице (UNVERIFIED, требует уточнения)",самозанятость (НПД)
Х5 Доставка,вело-курьер,"см. пеший курьер","см. пеший курьер","см. пеший курьер",самозанятость (НПД)
Х5 Доставка,авто-курьер,"см. пеший курьер","см. пеший курьер","см. пеший курьер + вероятно водительские права (не подтверждено явно на странице)",самозанятость (НПД)
Х5 Доставка,сборщик заказов (даркстор),"нет публичной цифры на этой странице отдельно от курьеров","см. пеший курьер","см. пеший курьер; медкнижка вероятна т.к. работа с продуктами, но явно не подтверждена (UNVERIFIED)",самозанятость (НПД) либо штатная позиция на складе
